language,tokenizer_id,template_id,ascii_ratio,lsar,csbc,spr
Hindi,openai/tiktoken/o200k_base,template-250,0.305556,1.000000,1.000000,2.777778
Hindi,openai/tiktoken/o200k_base,template-367,0.321739,1.000000,1.000000,2.777778
Hindi,openai/tiktoken/o200k_base,template-181,0.184783,1.000000,1.000000,2.083333
Hindi,openai/tiktoken/o200k_base,template-993,0.324324,1.000000,1.000000,3.125000
Hindi,openai/tiktoken/o200k_base,template-746,0.351852,1.000000,1.000000,2.444444
Hindi,openai/tiktoken/o200k_base,template-912,0.164948,1.000000,1.000000,2.700000
Hindi,openai/tiktoken/o200k_base,template-565,0.309091,1.000000,1.000000,2.666667
Hindi,openai/tiktoken/o200k_base,template-489,0.340000,1.000000,1.000000,2.750000
Hindi,openai/tiktoken/o200k_base,template-663,0.313043,1.000000,1.000000,2.500000
Hindi,openai/tiktoken/o200k_base,template-156,0.164948,1.000000,1.000000,2.454545
Hindi,openai/tiktoken/o200k_base,template-883,0.346535,1.000000,1.000000,2.444444
Hindi,openai/tiktoken/o200k_base,template-740,0.311927,1.000000,1.000000,2.777778
Hindi,openai/tiktoken/o200k_base,template-380,0.164948,1.000000,1.000000,2.454545
Hindi,openai/tiktoken/o200k_base,template-500,0.320388,1.000000,1.000000,2.750000
Hindi,openai/tiktoken/o200k_base,template-820,0.160000,1.000000,1.000000,2.333333
Hindi,openai/tiktoken/o200k_base,template-595,0.187500,1.000000,1.000000,2.500000
Hindi,openai/tiktoken/o200k_base,template-566,0.155340,1.000000,1.000000,2.636364
Hindi,openai/tiktoken/o200k_base,template-959,0.324324,1.000000,1.000000,2.777778
Hindi,openai/tiktoken/o200k_base,template-698,0.170213,1.000000,1.000000,2.363636
Hindi,openai/tiktoken/o200k_base,template-185,0.363636,1.000000,1.000000,2.333333
Hindi,openai/tiktoken/o200k_base,template-886,0.311927,1.000000,1.000000,2.777778
Hindi,openai/tiktoken/o200k_base,template-80,0.170213,1.000000,1.000000,2.166667
Hindi,openai/tiktoken/o200k_base,template-135,0.175824,1.000000,1.000000,2.083333
Hindi,openai/tiktoken/o200k_base,template-830,0.333333,1.000000,1.000000,2.444444
Hindi,openai/tiktoken/o200k_base,template-382,0.175824,1.000000,1.000000,2.272727
Hindi,openai/tiktoken/o200k_base,template-640,0.177570,1.000000,1.000000,2.333333
Hindi,openai/tiktoken/o200k_base,template-778,0.311927,1.000000,1.000000,3.125000
Hindi,openai/tiktoken/o200k_base,template-213,0.336634,1.000000,1.000000,2.625000
Hindi,openai/tiktoken/o200k_base,template-153,0.178947,1.000000,1.000000,2.272727
Hindi,openai/tiktoken/cl100k_base,template-78,0.250000,0.571429,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-596,0.273684,0.571429,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-263,0.215909,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-966,0.198020,0.428571,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-870,0.138614,0.333333,0.000000,1.066667
Hindi,openai/tiktoken/cl100k_base,template-584,0.084507,0.333333,0.000000,1.105263
Hindi,openai/tiktoken/cl100k_base,template-14,0.151163,0.600000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-540,0.095238,0.400000,0.000000,1.058824
Hindi,openai/tiktoken/cl100k_base,template-86,0.096386,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-973,0.138614,0.666667,0.000000,1.117647
Hindi,openai/tiktoken/cl100k_base,template-638,0.086957,0.833333,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-744,0.138614,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-255,0.083969,0.333333,0.000000,1.050000
Hindi,openai/tiktoken/cl100k_base,template-99,0.084211,0.500000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-516,0.083969,0.333333,0.000000,1.052632
Hindi,openai/tiktoken/cl100k_base,template-945,0.092308,0.555556,0.000000,1.055556
Hindi,openai/tiktoken/cl100k_base,template-54,0.257732,0.500000,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-528,0.242991,0.571429,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-366,0.208791,0.666667,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-958,0.242718,0.833333,0.000000,1.000000
Hindi,openai/tiktoken/cl100k_base,template-352,0.142857,0.428571,0.000000,1.066667
Hindi,openai/tiktoken/cl100k_base,template-413,0.085938,0.555556,0.000000,1.047619
